facility id,notification,Attorney,Total
6508,P61230,NSF,20000
6508,P61249,NSF,20000
22756,P61228,NSF,20000
22756,P61245,NSF,20000
89050 ,P60349,VKT,5506
1379 ,P64115,KCM,1200
97869 ,PERP 2460,NSF,2500
97869 ,PERP 2459,NSF,2500
182019,P60525,NSF,3500
177299,P61068,NSF,7500
178557,P64954,NSF,360
179235,P63213,NSF,2710
178002,P61989,NSF,770
127850,P64298,NSF,720
107704,P60143,NSF,4400
174662,P63045,NSF,1500
172250,P63042,NSF,825
139335,P64330,NSF,1000
126873,P63658,NSF,1400
139466,P62495,NSF,425
179743,P36746,NSF,1600
173673,P60089,NSF,700
178234,P64291,NSF,500
171242,P64657,NSF,250
120899,P63656,NSF,750
137487,P63024,NSF,300
137487,P63029,NSF,1200
181196,P56047,NSF,3200
140425,P64956,NSF,500
144633,P64320,NSF,675
173876,P60090,NSF,500
11567 ,P63709,NSF,800
106951,P50736,NSF,250
123862,P62169,NSF,1600
154943,P64655,NSF,500
174406,P62508,NAS,3000
174406,P64460,NAS,3000
130924,P63856,NAS,11000
135298,P63854,NAS,11000
53213,P63855,NAS,11000
146633,P65553,BST,900
52753 ,P63066,KCM,3750
52753 ,P63067,KCM,3750
52753 ,P63068,KCM,3750
52753 ,P63069,KCM,3750
52753 ,P63073,KCM,3750
69454 ,P61435,NAS,50000
69454 ,P62000,NAS,50000
8547 ,P49173,NSF,37000
8547 ,P52406,NSF,37000
8547 ,P61067,NSF,37000
8547 ,P61071,NSF,37000
8547 ,P64402,NSF,37000
20203,P57868,NSF,500
32840,P52996,MJR,1500
1334,P62028,BST,12000
1334,P63950,BST,12000
1334,P65501,BST,12000
158265,P63222,NSF,12000
163592,P63224,NSF,12000
163592,P64952,NSF,12000
150604,P61281,NSF,300
11119,P37244,KCM,10000
11119,P59394,KCM,10000
140519,P35779,KCM,5000
140519,P61959,KCM,5000
140519,P61962,KCM,5000
140519,P61980,KCM,5000
140519,P61985,KCM,5000
140519,P61988,KCM,5000
140519,P62235,KCM,5000
140519,P62337,KCM,5000
20061 ,P61572,KCM,101000
20061 ,P63159,KCM,101000
20061 ,P64516,KCM,101000
2018,P64516,KCM,101000
139938,P64516,KCM,13500
178441,P64516,KCM,800
178441,P65357,KCM,800
7235 ,P64125,KCM,2125
183276,P63859,KCM,5500
181506,P59689,KCM,4000
161083,P64964,KCM,500
176907,P61522,KCM,5600
139750,P64971,KCM,850
85487 ,P64971,TCF,550
85487 ,P65025,TCF,550
37376 ,P64221,TCF,1000
108901,P63221,TCF,750
177304,P60092,TCF,700
84273 ,P64073,TCF,850
178125,P63679,TCF,2000
183536,P59542,TCF,1600
11034 ,P62078,TCF,850
167392,P64916,TCF,650
178695,P65358,TCF,800
121477,P64224,TCF,800
121477,P64224,INT,800
96688 ,P59361,MJR,2500
149973,P61973,MJR,400
12155 ,P57823,AJO,1000
173917,P61107,LBN,1000
1403 ,P61107,LBN,1000
141555,P57822,RRF,350
172731,P59262,MJR,1200
172731,P59260,MJR,1200
125579,P57873,BTG,17500
126396,P50628,MJR,40000
165309,P60716,KCM,4500
800335,P54979,NSF,1500
800335,P54977,NSF,1500
89050 ,P55896,VKT,11000
89050 ,P55896,FAC,11000
89050 ,P55896,INT,11000
104004,P60417,MJR,500
164971,P61108,LBN,1000
180021,P44896,KCM,5000
800183,P53798,TRB,91500
800183,P53779,TRB,91500
800183,P60350,TRB,91500
800183,P60352,TRB,91500
800183,P60353,TRB,91500
800183,P34693,TRB,91500
171109,P26992,NAS,90000
171109,P26996,NAS,90000
171109,P26995,NAS,90000
171109,P26994,NAS,90000
171109,P55669,NAS,90000
171109,P26998,NAS,90000
69007 ,P60514,KCM,2500
179790,P62014,KCM,1500
179790,P62014,INT,1500
171465,SRV113,WBW,3000
176546,P62023,WBW,385
160477,P56729,WBW,1000
177945,P58290,WBW,825
162886,P64054,WBW,1650
169307,P61984,WBW,1100
169474,P58289,WBW,660
58673 ,P63503,WBW,2100
58673 ,P63503,FAC,2100
58673 ,P63503,INT,2100
181359,P63705,INT,3500
164319,P62022,INT,550
129437,P63106,INT,1100
174138,P61195,INT,550
87824,P61199,INT,550
180759,P61563,INT,2000
180268,P60515,INT,250
162842,P60947,INT,250
86513,P63018,INT,700
179235,P63204,INT,440
139270,P60850,INT,900
139270,P60852,INT,300
4297,P60144,INT,1800
50865,P63502,INT,700
114612,P56736,INT,1500
153479,P63507,INT,1500
153479,P63507,FAC,1500
152594,P63104,INT,650
109396,P61979,INT,500
148163,P64056,INT,550
167561,P59278,INT,1000
146167,P63800,INT,550
179176,P63355,INT,3000
115762,P64152,INT,6000
178871,P61270,INT,600
181384,P61565,INT,3200
60200,P61978,INT,650
117019,P58293,INT,425
180049,P61724,INT,800
24987,P64454,INT,400
124802,P64104,INT,2200
124802,P64104,FAC,2200
146612,P64268,INT,1600
116953,P63102,INT,800
146987,P64255,INT,1140
147056,P60836,NSF,2500
147056,P60824,NSF,2500
179181,P62618,NSF,25000
171374,P49891,MJR,500
112772,P53988,WBW,6250
57094 ,P59712,BTG,36000
57094 ,P59709,BTG,36000
800080,P34690,MJR,1000
178625,P60941,MJR,2500
178625,P60930,MJR,2500
178625,P60936,MJR,2500
91870 ,P57469,MJR,1500
3585 ,P56327,BTG,1500
164148,P60923,NSF,1000
18931 ,P54931,NSF,10000
18931 ,P54931,FAC,10000
18931 ,P54931,INT,10000
43436 ,P56330,NSF,3000
144694,P60136,PH3,1000
92361 ,P44884,WBW,206000
800089,P58231,BTG,4712500
800089,P58231,INT,4712500
2272 ,P64111,INT,960
43180 ,P63706,INT,550
157468,P56739,INT,8250
13854 ,P60519,INT,950
157781,P63203,INT,100
180374,P52995,INT,1100
175861,P63011,INT,560
131382,P60946,INT,400
178038,P61273,INT,250
14665 ,P56737,INT,800
14665 ,P56737,Nbr,800
101656,P60358,NSF,3000
119907,P37243,WBW,1000
156502,P59307,WBW,3000
156502,P59316,WBW,3000
156502,P60056,WBW,3000
156502,P60839,WBW,3000
156502,P60846,WBW,3000
141740,P61285,WBW,1200
142907,P62035,KCM,1125
20197 ,P60520,NSF,10000
3029 ,P57866,MJR,1500
131732,P57089,BTG,27000
131732,P57647,BTG,27000
126919,P60675,WBW,15000
126919,P60675,Nbr,15000
15504 ,P60569,KCM,4500
158144,P64801,KCM,62089
166937,P64271,MJR,2500
166937,P64276,MJR,2500
53729 ,P55675,KCM,29900
53729 ,P56329,KCM,29900
73022 ,P55540,KCM,4700
73022 ,P62050,KCM,4700
123867,P59629,BTG,3500
123867,P59669,BTG,3500
123867,P59670,BTG,3500
3197 ,P64003,NSF,1500
3197 ,P64003,Nbr,1500
158265,P61695,NSF,7500
158265,P61693,NSF,7500
158265,P61690,NSF,7500
158265,P59770,NSF,7500
158265,P59768,NSF,7500
158265,P59763,NSF,7500
119219,P62612,NAS,10000
119219,P62612,Nbr,10000
139282,P62612,Nbr,600
139282,P64289,Nbr,600
181770,P63041,Nbr,375
181565,P56044,Nbr,2200
181565,P56045,Nbr,2200
181190,P64307,Nbr,1000
181190,P64306,Nbr,385
181528,P63752,Nbr,660
161901,P58295,Nbr,245
183025,P64295,Nbr,360
85908 ,P61992,Nbr,450
178707,P64316,Nbr,800
178707,P60421,Nbr,850
44012,P63666,Nbr,800
173901,P64319,Nbr,1000
162110,P60086,Nbr,800
145612,P63108,Nbr,1650
157855,P61286,Nbr,330
175079,P64270,Nbr,650
115206,P64903,Nbr,360
181435,P63209,Nbr,850
131433,P64951,Nbr,800
167392,P64906,Nbr,450
178964,P64302,Nbr,900
172399,P61998,Nbr,550
151277,P62906,Nbr,950
155957,P64297,Nbr,500
181907,P64317,Nbr,350
7437 ,P61221,TRB,112000
177158,P64281,NSF,500
110577,P57470,KCM,7300
110577,P57474,KCM,7300
110577,P57478,KCM,7300
110577,P61304,KCM,7300
165625,P61562,NSF,2000
83623 ,P64120,NSF,1000
172593,P63250,NSF,1500
176463,P44888,NAS,10000
161216,P62903,NAS,1600
20741 ,P64112,PH3,1210
119098,P63064,PH3,400
168022,P64113,PH3,1200
143217,P36741,PH3,1000
178343,P63117,PH3,400
127627,P63506,PH3,600
25130 ,P64006,PH3,1100
178583,P64652,PH3,800
141785,P62904,PH3,375
177673,P59517,PH3,1100
171326,P59385,PH3,1000
181657,P59534,PH3,1650
60429 ,P62907,PH3,1700
8144 ,P62907,PH3,850
8144 ,P61571,PH3,850
172695,P64511,PH3,1600
143648,P64288,PH3,390
139811,P63030,PH3,600
165596,P61994,PH3,500
137061,P63028,PH3,550
